seed,num_steps,connected_steps,connected_ratio,ever_connected,first_connected_step,last_connected_step,num_disappear_events,first_disappear_step,final_connected,final_node_count,persistent_after_first_connection,persistent_threshold_step,always_connected
289,1201,684,0.5695253955037469,1,0,759,2,571,0,21,0,1075,0
290,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
291,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
292,1201,743,0.6186511240632806,1,0,742,1,743,0,19,0,1075,0
293,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
294,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
295,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
296,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
297,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
298,1201,466,0.38800999167360534,1,0,465,1,466,0,19,0,1075,0
299,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
300,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
301,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
302,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
303,1201,763,0.6353039134054954,1,0,762,1,763,0,19,0,1075,0
304,1201,391,0.32556203164029973,1,0,713,2,311,0,18,0,1075,0
305,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
306,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
307,1201,1016,0.8459616985845129,1,0,1015,1,1016,0,20,0,1075,0
308,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
309,1201,711,0.5920066611157369,1,0,710,1,711,0,21,0,1075,0
310,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
311,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
312,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
313,1201,515,0.42880932556203166,1,0,529,3,271,0,20,0,1075,0
314,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
315,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
316,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
317,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
318,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
319,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
320,1201,936,0.7793505412156536,1,0,935,1,936,0,18,0,1075,0
321,1201,277,0.23064113238967526,1,0,276,1,277,0,23,0,1075,0
322,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
323,1201,676,0.5628642797668609,1,0,675,1,676,0,18,0,1075,0
324,1201,662,0.5512073272273106,1,0,661,1,662,0,15,0,1075,0
325,1201,478,0.3980016652789342,1,0,477,1,478,0,18,0,1075,0
326,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
327,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
328,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
329,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
